Deliverable type,Priority,Production Pipeline,Project Type,Task Count
0,2,0,0,7
0,3,21,0,36
0,3,11,0,2
0,3,0,0,4
0,2,24,0,22
0,3,0,0,1
0,3,0,0,4
0,3,29,0,345
0,2,17,2,16
0,2,30,0,12
0,2,16,0,4
0,4,0,0,9
1001,3,14,2,6
0,2,0,0,7
0,2,16,0,10
0,5,0,0,29
0,2,28,0,49
0,3,0,0,1
0,3,0,0,7
0,3,0,0,8
0,2,14,0,4
0,2,0,0,1
0,3,11,2,17
0,3,11,2,25
0,3,11,2,18
0,3,11,2,10
0,2,0,0,8
0,3,0,0,8
0,2,0,0,4
0,3,22,0,19
0,5,6,0,15
0,2,0,0,1
0,2,6,2,12
0,3,26,0,27
0,2,0,0,15
1715,3,22,0,12
0,1,17,0,1
0,3,14,2,21
0,1,0,0,32
0,3,13,0,7
0,3,17,0,1
0,3,17,2,4
0,3,9,2,15
0,4,6,2,22
1001,3,0,1,1
0,3,0,0,12
0,3,0,0,1
0,3,0,0,1
0,3,28,0,35
0,2,11,0,1
0,2,11,0,1
0,1,0,0,4
0,3,6,0,7
0,1,16,0,4
0,3,0,0,1
0,3,0,0,1
0,3,0,0,1
0,3,0,0,1
0,3,0,0,1
0,3,0,0,1
0,2,0,0,3
0,3,4,0,67
0,2,0,0,3
0,2,16,0,1
9,2,0,1,1
0,3,18,0,9
0,2,6,0,10
0,4,0,0,1
0,3,26,0,36
0,3,29,2,14
0,3,23,0,19
0,3,17,0,22
0,2,0,0,2
0,2,0,0,5
0,3,28,2,9
0,3,18,0,9
0,2,29,0,1
0,3,0,0,2
0,3,6,2,16
0,2,6,2,10
0,3,29,0,44
0,2,0,0,5
0,2,29,0,4
0,2,11,0,11
0,4,26,0,52
0,2,0,0,11
4,2,0,1,1
0,3,0,0,1
0,2,0,0,7
0,2,0,0,8
1501,2,0,1,1
0,3,0,0,4
1002,2,0,1,18
0,2,14,0,19
0,2,14,0,30
0,2,0,0,3
0,3,17,0,1
0,2,0,0,8
0,3,6,0,60
0,3,0,0,1
0,3,0,0,1
0,3,0,0,1
0,3,0,0,1
0,3,0,0,7
0,3,17,0,11
0,2,22,0,18
0,3,6,2,130
0,2,20,0,1
0,2,17,0,4
0,3,30,2,23
0,2,0,0,4
0,3,0,0,1
0,3,13,0,13
0,3,0,0,1
0,3,0,0,1
0,3,0,2,7
0,4,16,0,4
0,2,14,2,4
0,2,17,2,7
0,3,14,2,24
0,2,29,2,44
0,2,17,0,69
0,3,17,2,7
1001,3,14,2,9
0,3,0,0,1
3,2,0,1,1
0,3,30,2,124
0,3,11,2,4
0,3,0,0,4
0,2,29,0,10
1501,2,0,1,1
0,4,6,2,23
0,4,14,0,4
0,3,14,0,1
0,4,6,2,44
0,2,0,0,7
0,4,0,0,4
0,3,0,0,1
0,2,0,0,7
0,3,0,0,1
0,3,0,0,19
0,3,11,2,58
0,3,0,0,1
0,3,30,0,8
0,3,11,2,7
0,3,30,2,72
0,3,29,2,37
0,2,0,0,1
0,2,0,0,23
0,2,0,0,29
0,2,0,0,29
0,3,25,0,28
0,3,0,0,31
0,2,0,0,19
0,3,0,0,7
0,2,13,0,17
0,2,30,2,11
0,2,6,0,11
0,3,11,0,4
0,3,0,0,17
0,4,9,0,1
0,4,9,0,1
0,4,9,0,4
0,4,20,0,27
0,2,14,0,41
0,2,11,2,30
0,3,0,0,63
0,3,0,0,3
0,2,0,0,6
0,2,29,0,4
0,3,0,0,1
0,2,0,0,5
0,2,0,0,5
0,2,0,0,6
0,1,0,0,4
0,4,0,0,1
0,3,0,0,1
4,2,0,1,1
0,3,30,2,73
0,3,0,0,4
0,3,17,4,16
0,2,11,4,22
0,3,17,4,21
1205,3,17,4,69
0,3,17,4,21
0,1,14,2,86
0,3,14,2,11
0,3,0,0,1
0,3,0,0,1
0,3,0,0,1
0,2,0,0,1
0,2,0,0,17
0,3,9,0,15
0,2,6,0,54
0,3,0,0,1
0,2,22,0,17
0,3,0,0,7
0,2,17,0,12
0,2,14,2,70
0,2,14,2,56
0,4,0,0,4
0,3,0,0,4
0,3,11,0,4
0,2,26,0,35
1012,1,0,1,33
0,4,14,0,1
0,3,0,0,5
0,3,6,0,23
1012,2,0,1,1
